place_num,age_10,age_20,age_30,age_40,age_50,age_60,gender_male,gender_female,mbti_is,mbti_in,mbti_es,mbti_en,restaurant_korea,restaurant_west,restaurant_china,restaurant_japan,restaurant_fast,restaurant_bunsik,cafe_cafe,cafe_dessert,cafe_bakery,leisure_gallery,leisure_craft,leisure_popup,leisure_theater,leisure_book,leisure_department,walking_park,walking_market,walking_street
1964121026,0.4725,0.45439999999999997,0.3121,0.3447,0.257,0.1176,0.42,0.58,0.05,0.8,0.1,0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1211583122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.65,0.15,0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1648002275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.42105263157894735,0.21052631578947367,0.15789473684210525,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1372933723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.2,0.15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021141556,0.8883,0.9109,0.7734000000000001,0.7487,0.25,0.25,0.4,0.6,0.1,0.65,0.2,0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18304737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.5,0.05,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1318837690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,0.1,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1140692233,0.9481,0.8969,0.7373000000000001,0.7611,0.47759999999999997,0.8484,0.44,0.56,0.0,0.6,0.15,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016220465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.65,0.2,0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1675683144,0.25,0.6311,0.8484,0.9495999999999999,0.8040999999999999,0.7095999999999999,0.53,0.47,0.25,0.4,0.2,0.15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1529645810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.5333333333333333,0.13333333333333333,0.06666666666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1471744655,0.25,0.7115,0.8534999999999999,0.9407,0.8623000000000001,0.6938,0.53,0.47,0.2,0.7,0.05,0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743371044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.55,0.2,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1141698218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.45,0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667644951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.5,0.05,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20103803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.45,0.05,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1258630634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,0.05,0.15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817221434,0.25,0.9594,0.8534,0.6013000000000001,0.25,0.25,0.51,0.49,0.0,0.5,0.05,0.45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1163440519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4,0.1,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1785732812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.6,0.1,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1833456623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.55,0.25,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1035085741,0.975,0.9063,0.7131000000000001,0.7178,0.4675,0.25,0.42,0.58,0.25,0.55,0.15,0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1536842677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.35,0.2,0.15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1368087777,0.9389,0.9247,0.8151999999999999,0.7045999999999999,0.6289,0.25,0.46,0.54,0.1,0.6,0.05,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1224183037,0.25,0.25,0.8120999999999999,0.8806999999999999,0.25,0.25,0.49,0.51,0.21052631578947367,0.5263157894736842,0.15789473684210525,0.10526315789473684,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1134138542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.631578947368421,0.15789473684210525,0.05263157894736842,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1199729561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.35,0.15,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33840116,0.25,0.6303,0.8053,0.9231,0.8366,0.8058,0.52,0.48,0.25,0.45,0.2,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1762789926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.5263157894736842,0.15789473684210525,0.10526315789473684,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1076287616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.631578947368421,0.10526315789473684,0.05263157894736842,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1823665075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.8421052631578947,0.05263157894736842,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37812777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.6,0.15,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36379498,0.25,0.9528,0.8336,0.7114,0.5609000000000001,0.25,0.52,0.48,0.3,0.45,0.2,0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1461070178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.55,0.15,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299343048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.75,0.1,0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1099315385,0.25,0.6013000000000001,0.8506,0.9354,0.8245,0.8502,0.54,0.46,0.2,0.55,0.15,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1219167884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.23529411764705882,0.35294117647058826,0.17647058823529413,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1127457729,0.2824,0.7556999999999999,0.6086,0.41369999999999996,0.29969999999999997,0.2775,0.54,0.46,0.15,0.6,0.15,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1408884866,0.22460000000000002,0.5139,0.382,0.2702,0.19190000000000002,0.1176,0.52,0.48,0.1,0.6,0.0,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685805793,0.7121,0.9895,0.4008,0.3075,0.27440000000000003,0.0642,0.42,0.58,0.0,0.65,0.2,0.15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
